101,Keegan Palmer,Australia,Expert,Finalist,4,4,1
102,Kieran Woolley,Australia,Competent,Finalist,5,1,2
103,Pedro Barros,Brazil,Expert,Finalist,4,4,1
104,Luiz Francisco,Brazil,Expert,Finalist,5,5,1
105,Pedro Quintas,Brazil,Expert,Finalist,3,1,4
106,Andy Anderson,Canada,Competent,Prelim,2,3,4
107,Rune Glifberg,Denmark,Competent,Prelim,1,2,1
108,Danny Leon,Spain,Competent,Prelim,3,4,2
109,Vincent Matheron,France,Competent,Prelim,4,4,4
110,Tyler Edtmayer,Germany,Competent,Prelim,3,3,4
111,Ivan Federico,Italy,Competent,Finalist,1,3,1
112,Ayumu Hirano,Japan,Competent,Prelim,3,4,2
113,Steven Piniero,Puerto Rico,Competent,Finalist,4,4,4
114,Dallas Oberholzer,South Africa,Competent,Prelim,2,2,1
115,Cory Juneau,United States,Expert,Finalist,4,2,4
116,Hatim Zeyad Alsultan,Saudi Arabia,Expert,Finalist,5,5,5
